asin,title,brand,category,price,bsr,rating,reviews,monthly_sales,monthly_revenue,listed_date,score
B0PNO6AEO1,Universal Car Phone Holder Ergonomic Design Strong Suction Cup - MobiMount,MobiMount,手机支架,31.86,13437,3.6,69,36,1146.96,2023-11-19,49.2
B0P1QS1BKY,AuraTech TWS Bluetooth Headphones Ergonomic Design IPX7 Waterproof,AuraTech,无线耳机,65.82,5948,4.0,122,99,6516.18,2025-06-08,68.1
B02GZ3CEVE,SoundPro Wireless Earbuds Bluetooth 5.3 with One-Step Setup - Navy Blue,SoundPro,无线耳机,67.41,6344,3.9,136,84,5662.44,2023-07-26,66.2
B0IE65IKBU,HomeIQ Smart Plug WiFi Outlet Fast Charging Works with Alexa Google Home,HomeIQ,智能家居,48.68,8030,3.9,131,35,1703.8,2023-06-17,63.0
B0IC5K25P6,Smart Power Strip Deep Bass 4 USB Ports Surge Protector - HomeIQ,HomeIQ,智能家居,26.93,11326,4.7,77,28,754.04,2025-07-28,58.8
B0NPIZMTAI,EcoSmart LED Smart Bulb Fast Charging 16 Million Colors Voice Control,EcoSmart,智能家居,58.64,18078,3.6,35,22,1290.08,2023-12-20,34.7
B0CPLJICVQ,AquaFit Sports Water Bottle Wide Compatibility Leak-Proof Lid 32oz - Navy Blue,AquaFit,运动水壶,19.55,9390,3.6,71,50,977.5,2024-10-28,57.2
B0T591WQ0F,ClearAudio Wireless Earbuds Bluetooth 5.3 with Touch Control - Midnight Gray,ClearAudio,无线耳机,59.8,5962,4.2,122,114,6817.2,2025-07-17,70.3
B050EZUC0A,GripMax Phone Mount for Car Built-in Mic 360° Rotation Dashboard Holder,GripMax,手机支架,11.49,13648,4.2,102,49,563.01,2025-06-01,48.1
B0R852W3JV,Smart Power Strip Wide Compatibility 4 USB Ports Surge Protector - NexaHome,NexaHome,智能家居,41.29,10211,4.8,70,43,1775.47,2024-04-09,62.1
B0TJ8MLHKX,Motivational Water Bottle LED Display with Time Marker 64oz - HydroFlow,HydroFlow,运动水壶,16.89,5794,3.6,112,87,1469.43,2024-04-15,65.5
B0VNC0EPL9,ClearAudio TWS Bluetooth Headphones Built-in Mic IPX7 Waterproof,ClearAudio,无线耳机,77.02,7889,4.8,136,96,7393.92,2025-11-14,67.2
B0PEE97O9R,ClearAudio Wireless Earbuds Bluetooth 5.3 with LED Display - Navy Blue,ClearAudio,无线耳机,62.83,4880,4.7,109,121,7602.43,2023-10-14,74.7
B0D2GNMHYA,StandPro Phone Mount for Car Built-in Mic 360° Rotation Dashboard Holder,StandPro,手机支架,28.9,2718,4.4,128,112,3236.8,2024-04-22,77.1
B0377WF1EP,WaveSound Wireless Earbuds Bluetooth 5.3 with Touch Control - White,WaveSound,无线耳机,16.64,2770,4.0,221,152,2529.28,2024-12-09,76.2
B0DVULIRCZ,AquaFit Sports Water Bottle One-Step Setup Leak-Proof Lid 32oz - White,AquaFit,运动水壶,23.58,8783,3.8,87,66,1556.28,2024-09-03,60.1
B0TE47QCYG,Motivational Water Bottle Wide Compatibility with Time Marker 64oz - PeakSip,PeakSip,运动水壶,32.19,11658,4.3,73,52,1673.88,2024-02-20,56.7
B0VV3VRP18,MobiMount Desk Phone Stand Auto-Pairing Adjustable Height for iPhone Android,MobiMount,手机支架,21.12,7192,3.9,122,58,1224.96,2025-06-24,64.2
B0IPNIP4S5,PeakSip Insulated Water Bottle Touch Control Stainless Steel BPA Free,PeakSip,运动水壶,38.53,6971,3.7,66,73,2812.69,2025-02-08,63.7
B02XGZQAXL,HydroFlow Sports Water Bottle Magnetic Charging Leak-Proof Lid 32oz - Forest Green,HydroFlow,运动水壶,34.03,10472,4.7,89,55,1871.65,2024-12-04,61.5
B0OSKKUATM,PeakSip Insulated Water Bottle Touch Control Stainless Steel BPA Free,PeakSip,运动水壶,35.28,7868,4.5,119,66,2328.48,2023-10-22,66.5
B0U08R7LWI,AuraTech Wireless Earbuds Bluetooth 5.3 with Fast Charging - Forest Green,AuraTech,无线耳机,67.47,863,4.4,220,316,21320.52,2024-05-17,87.4
B0DV01GIE1,HomeIQ Smart Plug WiFi Outlet Wide Compatibility Works with Alexa Google Home,HomeIQ,智能家居,23.52,7894,4.7,74,48,1128.96,2024-08-22,65.9
B0GF7VCONG,ClearPeak Sports Water Bottle One-Step Setup Leak-Proof Lid 32oz - Midnight Gray,ClearPeak,运动水壶,33.65,7966,4.7,132,52,1749.8,2023-09-14,67.2
B0N08CIS8H,ClearAudio TWS Bluetooth Headphones Magnetic Charging IPX7 Waterproof,ClearAudio,无线耳机,63.76,7303,4.7,96,105,6694.8,2024-06-06,68.9
B04TEZXJ5N,TrailDrop Sports Water Bottle Auto-Pairing Leak-Proof Lid 32oz - Forest Green,TrailDrop,运动水壶,43.43,2823,4.7,116,99,4299.57,2025-01-20,78.9
B0OYEAMOIM,AuraTech TWS Bluetooth Headphones Fast Charging IPX7 Waterproof,AuraTech,无线耳机,49.5,1308,3.6,202,209,10345.5,2025-10-21,82.0
B0CFPDK8OV,QuickClip Phone Mount for Car One-Step Setup 360° Rotation Dashboard Holder,QuickClip,手机支架,31.5,11205,4.2,101,53,1669.5,2024-02-23,57.6
B0OUGXI7K3,BassBoom Wireless Earbuds Bluetooth 5.3 with Built-in Mic - Forest Green,BassBoom,无线耳机,64.65,7696,3.5,41,82,5301.3,2024-05-08,58.0
B06MP2GWRL,HydroFlow Sports Water Bottle Magnetic Charging Leak-Proof Lid 32oz - Navy Blue,HydroFlow,运动水壶,21.28,4240,4.9,125,94,2000.32,2025-05-04,75.7
B06YCFYEEI,TrailDrop Insulated Water Bottle One-Step Setup Stainless Steel BPA Free,TrailDrop,运动水壶,35.65,4711,4.0,84,74,2638.1,2024-12-20,69.9
B09THPLA0P,AuraTech TWS Bluetooth Headphones Built-in Mic IPX7 Waterproof,AuraTech,无线耳机,56.46,4122,4.2,183,101,5702.46,2023-11-22,74.8
B0TZYEPRUR,StandPro Desk Phone Stand One-Step Setup Adjustable Height for iPhone Android,StandPro,手机支架,13.02,10341,4.4,110,52,677.04,2023-07-04,56.8
B0SUJ4LQAN,PeakSip Insulated Water Bottle One-Step Setup Stainless Steel BPA Free,PeakSip,运动水壶,25.56,11570,3.6,24,55,1405.8,2024-04-07,46.6
B0NNSF6NSR,TrailDrop Insulated Water Bottle Magnetic Charging Stainless Steel BPA Free,TrailDrop,运动水壶,25.1,7250,3.5,64,64,1606.4,2025-01-04,61.3
B0MQFM37NQ,GripMax Phone Mount for Car Auto-Pairing 360° Rotation Dashboard Holder,GripMax,手机支架,20.15,708,4.0,435,220,4433.0,2024-03-23,85.4
B0MHRZ9EO6,Wireless Earbuds Ergonomic Design 40H Playtime Active Noise Cancelling - Rose Gold,WaveSound,无线耳机,32.31,6721,4.8,105,101,3263.31,2025-04-11,70.7
B01MTQ6NCH,Wireless Earbuds One-Step Setup 40H Playtime Active Noise Cancelling - Forest Green,SoundPro,无线耳机,43.15,5088,4.6,144,116,5005.4,2025-07-23,74.8
B0202R5R69,QuickClip Desk Phone Stand Ergonomic Design Adjustable Height for iPhone Android,QuickClip,手机支架,11.48,13433,4.8,88,44,505.12,2024-02-11,51.3
B0R5BNGFG5,Universal Car Phone Holder Ergonomic Design Strong Suction Cup - FlexiHold,FlexiHold,手机支架,11.31,14523,4.4,37,43,486.33,2023-08-18,43.2
B0NHR4FNM7,Wireless Earbuds Premium Sound Quality 40H Playtime Active Noise Cancelling - Rose Gold,ClearAudio,无线耳机,22.28,6975,4.5,121,82,1826.96,2024-08-27,68.0
B0Q3VZ9PKF,Motivational Water Bottle Built-in Mic with Time Marker 64oz - HydroFlow,HydroFlow,运动水壶,13.36,1162,4.9,78,219,2925.84,2023-12-31,78.7
B0PKDEYTIT,HomeIQ Smart Plug WiFi Outlet Premium Sound Quality Works with Alexa Google Home,HomeIQ,智能家居,54.45,3585,4.8,113,57,3103.65,2024-01-31,76.3
B0WJZWOZOV,AquaFit Insulated Water Bottle Premium Sound Quality Stainless Steel BPA Free,AquaFit,运动水壶,38.88,10553,4.3,55,56,2177.28,2025-09-22,58.9
B0C7SFRHXR,HydroFlow Sports Water Bottle Deep Bass Leak-Proof Lid 32oz - White,HydroFlow,运动水壶,28.99,6460,4.5,125,77,2232.23,2025-07-05,69.4
